,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
20,0.59,0.676,0.491,3.479,4.882,-1.037,0,0,0,0,-35.288,53.585
40,0.578,0.667,0.487,2.563,2.502,-0.183,0,0,0,0,-35.205,53.629
60,0.562,0.647,0.477,2.563,0.976,-0.366,0,0,0,0,-35.189,53.646
80,0.562,0.647,0.477,2.563,0.976,-0.366,0,0,0,0,-35.178,53.668
100,0.562,0.654,0.473,4.333,1.159,-0.244,0,0,0,0,-35.161,53.717
120,0.576,0.672,0.477,2.624,2.99,2.99,0,0,0,0,-35.161,53.761
140,0.575,0.687,0.469,-2.746,11.962,7.751,0,0,0,0,-35.15,53.591
160,0.575,0.687,0.469,-2.746,11.962,7.751,0,0,0,0,-35.145,53.536
180,0.561,0.683,0.449,-10.742,15.441,23.193,0,0,0,0,-35.332,52.992
200,0.575,0.633,0.498,-10.192,13.305,13.61,0,0,0,0,-35.386,52.509
220,0.585,0.625,0.516,-7.141,11.23,10.253,0,0,0,0,-35.408,52.223
240,0.589,0.627,0.521,-1.464,3.906,3.417,0,0,0,0,-35.425,52.003
260,0.589,0.637,0.51,-0.915,1.586,1.159,0,0,0,0,-35.425,51.992
280,0.589,0.637,0.51,-0.915,1.586,1.159,0,0,0,0,-35.425,51.948
300,0.575,0.637,0.495,-0.488,1.22,0.976,0,0,0,0,-35.43,51.86
320,0.569,0.64,0.503,0.122,0.183,0.122,0,0,0,0,-35.425,51.838
340,0.572,0.639,0.506,0.488,-0.366,-0.793,0,0,0,0,-35.408,51.855
360,0.579,0.645,0.502,-0.427,0.061,-1.098,0,0,0,0,-35.397,51.86
380,0.583,0.649,0.499,0.061,-0.183,-1.098,0,0,0,0,-35.381,51.871
400,0.583,0.649,0.499,0.061,-0.183,-1.098,0,0,0,0,-35.375,51.882
420,0.577,0.643,0.5,0.915,-0.793,-1.342,0,0,0,0,-35.364,51.921
440,0.576,0.636,0.502,0,-0.793,-1.586,0,0,0,0,-35.354,51.932
460,0.578,0.64,0.498,0.183,0,-1.647,0,0,0,0,-35.343,51.948
480,0.586,0.648,0.501,1.892,0.976,-1.22,0,0,0,0,-35.304,51.992
500,0.585,0.653,0.501,1.892,0.793,0.061,0,0,0,0,-35.293,52.009
520,0.585,0.653,0.501,1.892,0.793,0.061,0,0,0,0,-35.293,52.009
540,0.58,0.646,0.508,1.586,0.305,0.183,0,0,0,0,-35.288,52.042
560,0.58,0.646,0.508,1.586,0.305,0.183,0,0,0,0,-35.288,52.058
580,0.57,0.639,0.498,1.342,-0.366,0.427,0,0,0,0,-35.293,52.086
600,0.578,0.647,0.502,2.38,0.122,-0.061,0,0,0,0,-35.304,52.229
620,0.577,0.645,0.499,0.183,0,0,0,0,0,0,-35.304,52.256
640,0.577,0.644,0.499,1.098,-0.183,-0.061,0,0,0,0,-35.304,52.272
660,0.579,0.647,0.494,1.77,0.854,-0.122,0,0,0,0,-35.293,52.305
680,0.579,0.647,0.494,1.77,0.854,-0.122,0,0,0,0,-35.293,52.311
700,0.572,0.646,0.497,2.258,0.366,0,0,0,0,0,-35.288,52.344
720,0.572,0.644,0.5,1.464,0.549,-0.366,0,0,0,0,-35.282,52.36
740,0.578,0.65,0.496,2.075,0.183,-0.488,0,0,0,0,-35.249,52.432
760,0.583,0.656,0.5,1.342,0.305,-0.427,0,0,0,0,-35.244,52.465
780,0.583,0.656,0.5,1.342,0.305,-0.427,0,0,0,0,-35.233,52.487
800,0.577,0.649,0.499,1.098,0.183,0,0,0,0,0,-35.233,52.492
820,0.577,0.649,0.499,1.098,0.183,0,0,0,0,0,-35.233,52.503
840,0.572,0.643,0.495,0.488,-0.366,-0.305,0,0,0,0,-35.238,52.514
860,0.58,0.656,0.499,2.014,0.732,0,0,0,0,0,-35.227,52.569
880,0.575,0.653,0.495,2.624,1.342,-0.244,0,0,0,0,-35.216,52.597
900,0.575,0.653,0.495,2.624,1.342,-0.244,0,0,0,0,-35.205,52.619
920,0.578,0.661,0.497,6.713,0,-0.244,0,0,0,0,-35.2,52.701
940,0.573,0.646,0.49,7.568,-3.295,0.427,0,0,0,0,-35.205,52.816
960,0.578,0.652,0.486,7.263,-3.295,1.953,0,0,0,0,-35.293,53.08
980,0.574,0.655,0.484,12.573,-2.99,3.112,0,0,0,0,-35.414,53.366
1000,0.573,0.657,0.481,21.545,-3.54,2.563,0,0,0,0,-35.496,53.673
1020,0.585,0.664,0.474,32.348,-7.019,3.356,0,0,0,0,-35.623,54.36
1040,0.606,0.692,0.46,45.41,-14.77,5.004,0,0,0,0,-35.82,55.239
1060,0.583,0.676,0.442,58.349,-26.062,10.925,0,0,0,0,-36.183,56.464
1080,0.565,0.653,0.431,52.001,-29.663,17.883,0,0,0,0,-36.567,57.48
1100,0.565,0.653,0.431,52.001,-29.663,17.883,0,0,0,0,-36.87,58.106
1120,0.588,0.654,0.407,49.438,-30.151,23.681,0,0,0,0,-37.556,59.309
1140,0.666,0.692,0.359,54.138,-51.269,34.301,0,0,0,0,-39.407,62.133
1160,0.671,0.659,0.339,83.007,-58.837,51.269,0,0,0,0,-40.418,63.594
1180,0.671,0.659,0.339,83.007,-58.837,51.269,0,0,0,0,-41.138,64.676
1200,0.706,0.62,0.284,91.735,-89.477,78.369,0,0,0,0,-43.143,67.269
1220,0.706,0.62,0.284,91.735,-89.477,78.369,0,0,0,0,-43.681,67.966
1240,0.706,0.664,0.198,60.668,-36.926,76.232,0,0,0,0,-47.367,70.521
1260,0.761,0.622,0.217,63.659,-27.343,77.88,0,0,0,0,-49.026,71.85
1280,0.751,0.605,0.256,59.814,-14.343,80.078,0,0,0,0,-49.833,72.399
1300,0.759,0.599,0.274,9.338,9.765,71.411,0,0,0,0,-51.668,72.729
1320,0.767,0.619,0.177,-5.249,16.967,47.851,0,0,0,0,-52.882,71.729
1340,0.75,0.569,0.167,2.99,5.981,39.062,0,0,0,0,-53.931,70.779
1360,0.732,0.508,0.176,1.953,12.207,49.499,0,0,0,0,-54.689,70.208
1380,0.732,0.508,0.176,1.953,12.207,49.499,0,0,0,0,-55.107,69.829
1400,0.828,0.489,0.194,16.113,-14.099,43.518,0,0,0,0,-56.013,69.521
1420,0.828,0.489,0.194,16.113,-14.099,43.518,0,0,0,0,-56.705,69.702
1440,0.826,0.416,0.175,53.466,-22.46,110.778,0,0,0,0,-58.623,70.35
1460,0.896,0.395,0.17,63.049,-26.611,149.23,0,0,0,0,-61.073,70.806
1480,0.921,0.338,0.153,68.725,2.502,219.299,0,0,0,0,-64.374,70.609
1500,0.921,0.338,0.153,68.725,2.502,219.299,0,0,0,0,-66.439,69.587
1520,0.921,0.338,0.153,68.725,2.502,219.299,0,0,0,0,-67.461,68.983
1540,0.898,0.24,0.122,41.87,10.314,237.731,0,0,0,0,-72.998,61.539
1560,0.934,0.164,0.127,27.221,-17.822,180.114,0,0,0,0,-76.728,53.256
1580,1.059,0.119,0.149,44.128,-30.761,166.198,0,0,0,0,-80.991,38.562
1600,1.007,0.038,0.124,41.809,-11.657,137.817,0,0,0,0,-83.507,8.399
1620,0.942,0.002,0.118,33.569,-7.019,102.417,0,0,0,0,-83.6,-13.595
1640,0.942,0.002,0.118,33.569,-7.019,102.417,0,0,0,0,-83.182,-25.691
1660,0.911,-0.053,0.144,7.995,-2.319,70.556,0,0,0,0,-82.479,-35.216
1680,1.048,-0.105,0.096,-4.638,-12.207,-7.629,0,0,0,0,-82.386,-36.177
1700,1.048,-0.105,0.096,-4.638,-12.207,-7.629,0,0,0,0,-82.457,-36.276
1720,1.044,-0.101,0.104,-1.586,-19.409,-6.347,0,0,0,0,-82.787,-37.04
1740,0.99,-0.107,0.128,1.037,-12.451,-2.99,0,0,0,0,-83.029,-37.847
1760,0.934,-0.114,0.145,0.244,-3.54,7.446,0,0,0,0,-83.106,-39.484
1780,0.912,-0.115,0.133,-2.258,17.761,17.883,0,0,0,0,-82.54,-40.215
1800,0.975,-0.117,0.084,-6.53,38.208,19.958,0,0,0,0,-81.43,-37.941
1820,0.975,-0.117,0.084,-6.53,38.208,19.958,0,0,0,0,-81.007,-37.611
1840,0.957,-0.128,0.14,0,21.789,35.766,0,0,0,0,-80.194,-38.809
1860,0.963,-0.143,0.178,3.356,9.216,55.603,0,0,0,0,-79.546,-41.198
1880,0.95,-0.179,0.192,-8.056,1.831,80.139,0,0,0,0,-77.865,-48.466
1900,0.965,-0.183,0.193,-16.357,1.159,106.079,0,0,0,0,-76.168,-54.338
1920,0.955,-0.195,0.146,-41.503,6.774,120.666,0,0,0,0,-74.608,-58.441
1940,0.994,-0.301,0.133,-8.056,-16.479,52.49,0,0,0,0,-71.883,-63.182
1960,0.989,-0.263,0.127,-14.343,-21.667,6.53,0,0,0,0,-71.531,-65.236
1980,0.989,-0.263,0.127,-14.343,-21.667,6.53,0,0,0,0,-71.531,-65.236
2000,0.939,-0.319,0.177,12.084,13.183,22.827,0,0,0,0,-71.092,-65.687
2020,0.9,-0.381,0.256,10.253,51.635,31.86,0,0,0,0,-70.543,-64.896
2040,0.9,-0.381,0.256,10.253,51.635,31.86,0,0,0,0,-69.713,-63.308
2060,0.915,-0.375,0.248,47.119,58.593,51.269,0,0,0,0,-67.565,-59.65
2080,0.898,-0.355,0.269,39.428,44.067,28.808,0,0,0,0,-66.176,-57.628
2100,0.898,-0.355,0.269,39.428,44.067,28.808,0,0,0,0,-65.434,-56.288
2120,0.899,-0.384,0.306,41.381,58.776,19.592,0,0,0,0,-64.396,-53.843
2140,0.795,-0.366,0.332,63.903,107.238,10.437,0,0,0,0,-62.127,-47.779
2160,0.835,-0.342,0.342,72.021,124.755,16.296,0,0,0,0,-60.292,-43.747
2180,0.928,-0.364,0.386,79.04,180.664,26.977,0,0,0,0,-57.733,-39.44
2200,0.931,-0.251,0.385,110.473,198.303,28.076,0,0,0,0,-55.316,-36.013
2220,0.931,-0.251,0.385,110.473,198.303,28.076,0,0,0,0,-54.453,-34.81
2240,0.931,-0.251,0.385,110.473,198.303,28.076,0,0,0,0,-52.69,-32.607
2260,0.931,-0.251,0.385,110.473,198.303,28.076,0,0,0,0,-52.69,-32.607
2280,0.913,0.08,0.479,181.945,281.005,20.812,0,0,0,0,-47.455,-25.713
2300,0.977,-0.497,0.541,107.91,295.043,-127.014,0,0,0,0,-40.951,-15.858
2320,0.561,0.03,0.629,-0.427,125.61,-1.098,0,0,0,0,-33.101,-10.25
2340,0.515,-0.047,0.541,-44.738,158.081,-48.278,0,0,0,0,-31.129,-9.959
2360,0.372,-0.067,0.599,-70.861,112.548,-27.648,0,0,0,0,-28.432,-10.052
2380,0.314,-0.106,0.743,-106.018,113.037,-18.249,0,0,0,0,-24.68,-12.392
2400,0.636,0.287,2.223,352.966,846.008,271.545,0,0,0,0,-12.837,-12.013
2420,0.994,-0.152,-1.782,-353.027,1594.3,-224.121,0,0,0,0,3.554,-10.612
2440,-0.885,-0.073,0.544,159.24,-520.629,-172.485,0,0,0,0,22.791,-18.671
2460,0.898,0.476,0.41,472.045,-675.476,-544.616,0,0,0,0,2.713,-10.7
2480,-0.216,-1.063,2.55,-99.182,50.476,-231.14,0,0,0,0,-1.049,-9.541
2500,-0.037,-0.117,0.518,-10.498,131.53,-16.479,0,0,0,0,-0.302,-10.629
2520,-0.037,-0.117,0.518,-10.498,131.53,-16.479,0,0,0,0,0.972,-10.755
2540,-0.037,-0.117,0.518,-10.498,131.53,-16.479,0,0,0,0,0.972,-10.755
2560,-0.037,-0.117,0.518,-10.498,131.53,-16.479,0,0,0,0,0.972,-10.755
2580,0.164,-0.019,0.757,-52.673,143.676,-49.377,0,0,0,0,5.399,-11.881
2600,-0.257,-0.258,1.32,-83.679,62.805,-37.048,0,0,0,0,9.415,-14.534
2620,-0.257,-0.258,1.32,-83.679,62.805,-37.048,0,0,0,0,9.415,-14.534
2640,-0.102,-0.377,1.091,-55.419,-17.7,-5.859,0,0,0,0,9.981,-16.457
2660,-0.103,-0.391,1.013,-39.489,-3.784,21.484,0,0,0,0,9.761,-17.583
2680,-0.103,-0.391,1.013,-39.489,-3.784,21.484,0,0,0,0,9.761,-17.583
2700,-0.373,-0.24,0.882,-49.377,-12.207,84.594,0,0,0,0,11.843,-19.638
2720,-0.148,-0.242,0.87,-31.188,-13.793,87.402,0,0,0,0,12.161,-20
2740,-0.329,-0.227,0.967,-8.605,-19.104,96.496,0,0,0,0,12.601,-19.984
2760,-0.218,-0.192,0.938,-6.713,-27.587,123.107,0,0,0,0,13.128,-19.291
2780,-0.31,-0.481,0.998,19.836,8.544,49.194,0,0,0,0,13.628,-18.775
2800,-0.192,-0.309,0.932,7.934,-9.521,64.88,0,0,0,0,14.161,-18.061
2820,-0.192,-0.309,0.932,7.934,-9.521,64.88,0,0,0,0,14.293,-17.693
2840,-0.365,-0.262,0.974,11.779,0.427,50.415,0,0,0,0,14.699,-16.979
2860,-0.365,-0.262,0.974,11.779,0.427,50.415,0,0,0,0,14.968,-16.611
2880,-0.3,-0.207,0.953,5.249,0.671,12.084,0,0,0,0,15.281,-16.21
2900,-0.214,-0.196,0.943,2.807,-3.051,7.202,0,0,0,0,15.358,-16.012
2920,-0.214,-0.196,0.943,2.807,-3.051,7.202,0,0,0,0,15.342,-15.935
2940,-0.214,-0.196,0.943,2.807,-3.051,7.202,0,0,0,0,15.342,-15.935
2960,-0.214,-0.196,0.943,2.807,-3.051,7.202,0,0,0,0,15.342,-15.935
2980,-0.259,-0.232,0.961,-0.427,0.915,1.831,0,0,0,0,15.216,-15.715
3000,-0.239,-0.235,0.963,-2.685,1.098,3.051,0,0,0,0,15.254,-15.71
3020,-0.243,-0.218,0.954,-5.371,1.586,1.77,0,0,0,0,15.27,-15.743
3040,-0.243,-0.218,0.954,-5.371,1.586,1.77,0,0,0,0,15.27,-15.743
3060,-0.25,-0.205,0.942,-4.943,-0.61,-1.098,0,0,0,0,15.276,-15.803
3080,-0.263,-0.211,0.939,-1.831,-2.563,-2.014,0,0,0,0,15.243,-15.836
